unitid,institution name,year,institution name,HD2019.Street address or post office box,HD2019.City location of institution,HD2019.ZIP code,HD2019.County name,HD2019.Longitude location of institution,HD2019.Latitude location of institution,DRVEF2019.Total  enrollment,DRVEF2019.Full-time enrollment,DRVEF2019.Part-time enrollment
108232,Academy of Art University,2019,Academy of Art University,79 New Montgomery,San Francisco,94105,San Francisco County,-122.400578,37.787943,9812,5523,4289
108269,Academy of Chinese Culture and Health Sciences,2019,Academy of Chinese Culture and Health Sciences,"1600 Broadway, Ste. 200",Oakland,94612,Alameda County,-122.269839,37.805972,133,85,48
108348,The Academy of Radio and TV Broadcasting,2019,The Academy of Radio and TV Broadcasting,16052 Beach Blvd St 263n,Huntington Beach,92647,Orange County,-117.987762,33.729535,,,
108649,Avalon School of Cosmetology-Alameda,2019,Avalon School of Cosmetology-Alameda,2318 Central Avenue,Alameda,94501,Alameda County,-122.243566,37.764203,47,47,0
108667,College of Alameda,2019,College of Alameda,555 Ralph Appezzato Memorial Pky,Alameda,94501,Alameda County,-122.279303,37.781017,5667,1062,4605
108807,Allan Hancock College,2019,Allan Hancock College,800 South College Drive,Santa Maria,93454-6399,Santa Barbara County,-120.421144,34.943716,11894,3594,8300
108852,American Academy of Dramatic Arts-Los Angeles,2019,American Academy of Dramatic Arts-Los Angeles,1336 North La Brea Avenue,Los Angeles,90028,Los Angeles County,-118.343701,34.095378,251,251,0
108861,American Baptist Seminary of the West,2019,American Baptist Seminary of the West,2606 Dwight Way,Berkeley,94704-3029,Alameda County,-122.256149,37.865252,39,14,25
108870,American Film Institute Conservatory,2019,American Film Institute Conservatory,2021 N Western Ave,Los Angeles,90027-1625,Los Angeles County,-118.310018,34.10767,334,328,6
108977,American Beauty College,2019,American Beauty College,646 S. Sunset Ave,West Covina,91790,Los Angeles County,-117.936959,34.069367,92,42,50
109040,American Career College-Los Angeles,2019,American Career College-Los Angeles,4021 Rosewood Avenue,Los Angeles,90004,Los Angeles County,-118.292481,34.079323,1567,1567,0
109086,American Conservatory Theater,2019,American Conservatory Theater,30 Grant Ave,San Francisco,94108-5834,San Francisco County,-122.40475,37.787343,43,43,0
109208,American River College,2019,American River College,4700 College Oak Dr,Sacramento,95841-4286,Sacramento County,-121.349672,38.65085,31265,6116,25149
109350,Antelope Valley College,2019,Antelope Valley College,3041 West  Ave K,Lancaster,93536-5426,Los Angeles County,-118.186166,34.676207,13909,4130,9779
109651,Art Center College of Design,2019,Art Center College of Design,1700 Lida St,Pasadena,91103,Los Angeles County,-118.185102,34.169031,2335,2034,301
109721,Associated Technical College-Los Angeles,2019,Associated Technical College-Los Angeles,1670 Wilshire Blvd,Los Angeles,90017-1604,Los Angeles County,-118.272364,34.056102,335,335,0
109730,Associated Technical College-San Diego,2019,Associated Technical College-San Diego,707 Broadway-Ste 300,San Diego,92101,San Diego County,-117.157988,32.715375,85,85,0
109785,Azusa Pacific University,2019,Azusa Pacific University,901 E Alosta,Azusa,91702-7000,Los Angeles County,-117.888375,34.130047,9297,6474,2823
109819,Bakersfield College,2019,Bakersfield College,1801 Panorama Dr,Bakersfield,93305-1299,Kern County,-118.973753,35.40911,26380,7678,18702
109907,Barstow Community College,2019,Barstow Community College,2700 Barstow Road,Barstow,92311,San Bernardino County,-117.023412,34.870285,3078,1250,1828
109934,Bellus Academy-Chula Vista,2019,Bellus Academy-Chula Vista,"970 Broadway, Suite 110",Chula Vista,91911,San Diego County,-117.083738,32.614773,239,239,0
110060,Bethesda University,2019,Bethesda University,730 N. Euclid St,Anaheim,92801,Orange County,-117.941323,33.842295,397,336,61
