,County,Date,Confirmed Covid Cases,Suspected Covid Cases,Hospitalized Patients,All Hospital Beds,ICU Confirmed Cases,ICU Suspected Cases,ICU Available Beds
0,Ventura,2020-03-29,24.0,85.0,,,5.0,19.0,14.0
1,Madera,2020-03-29,1.0,6.0,,,1.0,1.0,8.0
2,Santa Cruz,2020-03-29,0.0,0.0,,,0.0,0.0,
3,Yolo,2020-03-29,2.0,3.0,,,1.0,1.0,0.0
4,San Diego,2020-03-29,121.0,211.0,,,77.0,39.0,205.0
5,Modoc,2020-03-29,0.0,0.0,,,0.0,0.0,
6,Calaveras,2020-03-29,,,,,,,
7,Sonoma,2020-03-29,7.0,20.0,,,2.0,5.0,12.0
8,Tulare,2020-03-29,6.0,13.0,,,5.0,3.0,7.0
9,Los Angeles,2020-03-29,489.0,1132.0,,,191.0,182.0,345.0
10,Nevada,2020-03-29,23.0,,,,1.0,0.0,3.0
11,Imperial,2020-03-29,5.0,100.0,,,1.0,2.0,2.0
12,Humboldt,2020-03-29,1.0,10.0,,,0.0,0.0,18.0
13,Sacramento,2020-03-29,36.0,27.0,,,12.0,18.0,50.0
14,Contra Costa,2020-03-29,23.0,62.0,,,8.0,15.0,62.0
15,Amador,2020-03-29,1.0,0.0,,,0.0,0.0,2.0
16,Inyo,2020-03-29,,,,,,,
17,El Dorado,2020-03-29,0.0,6.0,,,0.0,3.0,3.0
18,San Bernardino,2020-03-29,33.0,123.0,,,19.0,20.0,65.0
19,Trinity,2020-03-29,0.0,0.0,,,0.0,0.0,
20,San Benito,2020-03-29,1.0,1.0,,,1.0,0.0,1.0
21,Butte,2020-03-29,,,,,,,
22,Solano,2020-03-29,7.0,27.0,,,4.0,1.0,28.0
23,Tehama,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
24,San Mateo,2020-03-29,46.0,27.0,,,16.0,10.0,28.0
25,Shasta,2020-03-29,0.0,0.0,,,0.0,0.0,
26,Merced,2020-03-29,1.0,7.0,,,0.0,0.0,3.0
27,Alameda,2020-03-29,36.0,91.0,,,20.0,16.0,119.0
28,San Luis Obispo,2020-03-29,7.0,12.0,,,3.0,4.0,948.0
29,Lassen,2020-03-29,0.0,2.0,,,0.0,0.0,
30,Stanislaus,2020-03-29,20.0,48.0,,,9.0,8.0,25.0
31,Riverside,2020-03-29,44.0,78.0,,,13.0,20.0,46.0
32,Mendocino,2020-03-29,1.0,11.0,,,0.0,0.0,1.0
33,Marin,2020-03-29,7.0,13.0,,,2.0,6.0,11.0
34,Santa Clara,2020-03-29,141.0,72.0,,,65.0,15.0,70.0
35,San Francisco,2020-03-29,50.0,73.0,,,24.0,10.0,61.0
36,Sutter,2020-03-29,0.0,0.0,,,0.0,0.0,
37,Santa Barbara,2020-03-29,15.0,21.0,,,9.0,3.0,47.0
38,Monterey,2020-03-29,2.0,16.0,,,1.0,2.0,10.0
39,Plumas,2020-03-29,0.0,1.0,,,0.0,1.0,
40,Colusa,2020-03-29,,,,,,,
41,Kern,2020-03-29,16.0,57.0,,,8.0,8.0,39.0
42,Lake,2020-03-29,0.0,1.0,,,0.0,1.0,2.0
43,Tuolumne,2020-03-29,1.0,5.0,,,0.0,0.0,0.0
44,Glenn,2020-03-29,,,,,,,
45,Mono,2020-03-29,0.0,1.0,,,0.0,0.0,2.0
46,Yuba,2020-03-29,2.0,12.0,,,2.0,4.0,2.0
47,Kings,2020-03-29,2.0,5.0,,,1.0,0.0,2.0
48,Orange,2020-03-29,74.0,167.0,,,31.0,40.0,131.0
49,San Joaquin,2020-03-29,34.0,35.0,,,5.0,2.0,7.0
50,Del Norte,2020-03-29,1.0,2.0,,,0.0,0.0,3.0
51,Placer,2020-03-29,18.0,14.0,,,4.0,1.0,10.0
52,Siskiyou,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
53,Fresno,2020-03-29,8.0,116.0,,,3.0,14.0,22.0
54,Napa,2020-03-29,0.0,26.0,,,,,5.0
55,Tehama,2020-03-30,0.0,2.0,,,0.0,0.0,2.0
56,Del Norte,2020-03-30,0.0,2.0,,,0.0,0.0,5.0
57,Siskiyou,2020-03-30,0.0,0.0,,,0.0,0.0,3.0
58,Kings,2020-03-30,2.0,12.0,,,1.0,2.0,0.0
59,Merced,2020-03-30,1.0,9.0,,,0.0,2.0,11.0
60,San Francisco,2020-03-30,58.0,92.0,,,18.0,7.0,90.0
61,Riverside,2020-03-30,60.0,133.0,,,22.0,33.0,77.0
62,Fresno,2020-03-30,10.0,88.0,,,3.0,14.0,24.0
63,Mono,2020-03-30,0.0,1.0,,,0.0,0.0,2.0
64,Shasta,2020-03-30,1.0,4.0,,,0.0,0.0,13.0
65,Modoc,2020-03-30,0.0,31.0,,,0.0,0.0,
66,Inyo,2020-03-30,,,,,,,
67,San Mateo,2020-03-30,56.0,40.0,,,18.0,11.0,47.0
68,Plumas,2020-03-30,0.0,1.0,,,0.0,0.0,
69,Solano,2020-03-30,15.0,16.0,,,6.0,0.0,47.0
70,El Dorado,2020-03-30,0.0,9.0,,,0.0,6.0,9.0
71,Tuolumne,2020-03-30,1.0,2.0,,,0.0,0.0,3.0
72,Mendocino,2020-03-30,2.0,11.0,,,0.0,1.0,8.0
73,Humboldt,2020-03-30,1.0,8.0,,,0.0,0.0,10.0
74,Madera,2020-03-30,1.0,5.0,,,1.0,3.0,4.0
75,San Diego,2020-03-30,146.0,446.0,,,72.0,23.0,228.0
76,Lassen,2020-03-30,0.0,4.0,,,0.0,0.0,
77,Colusa,2020-03-30,0.0,1.0,,,0.0,1.0,5.0
78,Santa Cruz,2020-03-30,0.0,2.0,,,0.0,0.0,4.0
79,Calaveras,2020-03-30,0.0,3.0,,,0.0,1.0,5.0
80,Yolo,2020-03-30,2.0,2.0,,,1.0,2.0,0.0
81,Monterey,2020-03-30,11.0,16.0,,,4.0,0.0,17.0
82,Santa Clara,2020-03-30,153.0,93.0,,,74.0,23.0,103.0
83,San Bernardino,2020-03-30,67.0,179.0,,,27.0,33.0,66.0
84,San Joaquin,2020-03-30,28.0,30.0,,,8.0,4.0,53.0
85,Santa Barbara,2020-03-30,19.0,25.0,,,11.0,7.0,48.0
86,Sonoma,2020-03-30,7.0,22.0,,,3.0,4.0,29.0
87,Napa,2020-03-30,3.0,8.0,,,1.0,0.0,9.0
88,Amador,2020-03-30,0.0,1.0,,,0.0,0.0,4.0
89,Alameda,2020-03-30,59.0,89.0,,,27.0,18.0,146.0
90,Ventura,2020-03-30,25.0,82.0,,,5.0,28.0,15.0
91,Imperial,2020-03-30,19.0,109.0,,,3.0,3.0,4.0
92,Sutter,2020-03-30,0.0,0.0,,,0.0,0.0,
93,Sacramento,2020-03-30,45.0,86.0,,,21.0,23.0,58.0
94,San Benito,2020-03-30,1.0,1.0,,,1.0,0.0,1.0
95,Glenn,2020-03-30,0.0,0.0,,,0.0,0.0,
96,Contra Costa,2020-03-30,25.0,54.0,,,11.0,6.0,90.0
97,Stanislaus,2020-03-30,17.0,51.0,,,9.0,5.0,29.0
98,Trinity,2020-03-30,0.0,0.0,,,0.0,0.0,
99,Yuba,2020-03-30,3.0,17.0,,,2.0,4.0,10.0
100,Lake,2020-03-30,0.0,1.0,,,0.0,1.0,3.0
101,Nevada,2020-03-30,26.0,17.0,,,2.0,5.0,3.0
102,Kern,2020-03-30,18.0,123.0,,,6.0,8.0,51.0
103,Los Angeles,2020-03-30,601.0,1277.0,,,245.0,244.0,456.0
104,Tulare,2020-03-30,5.0,21.0,,,4.0,6.0,7.0
105,Orange,2020-03-30,98.0,251.0,,,42.0,58.0,131.0
106,San Luis Obispo,2020-03-30,5.0,11.0,,,3.0,4.0,957.0
107,Butte,2020-03-30,4.0,12.0,,,2.0,1.0,5.0
108,Placer,2020-03-30,19.0,19.0,,,5.0,1.0,29.0
109,Marin,2020-03-30,10.0,9.0,,,4.0,2.0,16.0
110,Yuba,2020-03-31,2.0,21.0,,,2.0,4.0,6.0
111,San Luis Obispo,2020-03-31,7.0,15.0,,,3.0,6.0,955.0
112,Merced,2020-03-31,3.0,11.0,,,0.0,2.0,10.0
113,Shasta,2020-03-31,1.0,5.0,,,1.0,0.0,4.0
114,Lake,2020-03-31,0.0,4.0,,,0.0,2.0,3.0
115,Colusa,2020-03-31,0.0,1.0,,,0.0,1.0,5.0
116,Imperial,2020-03-31,12.0,100.0,,,3.0,4.0,4.0
117,San Mateo,2020-03-31,60.0,23.0,,,18.0,5.0,37.0
118,Sutter,2020-03-31,0.0,0.0,,,0.0,0.0,
119,Trinity,2020-03-31,0.0,0.0,,,0.0,0.0,
120,Alameda,2020-03-31,56.0,94.0,,,27.0,17.0,77.0
121,Kings,2020-03-31,1.0,3.0,,,1.0,2.0,4.0
122,Napa,2020-03-31,1.0,5.0,,,1.0,1.0,12.0
123,Del Norte,2020-03-31,0.0,4.0,,,0.0,0.0,3.0
124,Stanislaus,2020-03-31,20.0,31.0,,,9.0,1.0,34.0
125,Lassen,2020-03-31,0.0,7.0,,,0.0,0.0,
126,Calaveras,2020-03-31,0.0,1.0,,,0.0,0.0,4.0
127,Fresno,2020-03-31,30.0,274.0,,,4.0,19.0,23.0
128,Yolo,2020-03-31,3.0,2.0,,,2.0,2.0,1.0
129,Tulare,2020-03-31,6.0,14.0,,,4.0,5.0,9.0
130,Sonoma,2020-03-31,8.0,18.0,,,3.0,3.0,21.0
131,San Benito,2020-03-31,1.0,0.0,,,1.0,0.0,1.0
132,Mono,2020-03-31,0.0,1.0,,,0.0,0.0,2.0
133,Amador,2020-03-31,0.0,0.0,,,0.0,0.0,4.0
134,Santa Cruz,2020-03-31,1.0,10.0,,,1.0,2.0,7.0
135,Marin,2020-03-31,9.0,14.0,,,4.0,2.0,15.0
136,San Bernardino,2020-03-31,82.0,231.0,,,33.0,48.0,63.0
137,Glenn,2020-03-31,0.0,0.0,,,0.0,0.0,
138,Orange,2020-03-31,105.0,233.0,,,45.0,44.0,131.0
139,Monterey,2020-03-31,11.0,15.0,,,4.0,2.0,17.0
140,Tehama,2020-03-31,0.0,2.0,,,0.0,0.0,4.0
141,Santa Clara,2020-03-31,155.0,98.0,,,73.0,17.0,92.0
142,Kern,2020-03-31,14.0,63.0,,,6.0,6.0,46.0
143,Santa Barbara,2020-03-31,19.0,29.0,,,14.0,7.0,48.0
144,San Diego,2020-03-31,158.0,408.0,,,75.0,39.0,208.0
145,Modoc,2020-03-31,0.0,19.0,,,0.0,0.0,
146,Solano,2020-03-31,15.0,15.0,,,6.0,5.0,42.0
147,Los Angeles,2020-03-31,713.0,1239.0,,,315.0,239.0,445.0
148,San Francisco,2020-03-31,67.0,69.0,,,30.0,14.0,77.0
149,Madera,2020-03-31,1.0,3.0,,,1.0,0.0,5.0
150,Inyo,2020-03-31,,83.0,,,0.0,0.0,6.0
151,Plumas,2020-03-31,0.0,0.0,,,0.0,0.0,
152,Nevada,2020-03-31,36.0,40.0,,,2.0,1.0,6.0
153,Siskiyou,2020-03-31,0.0,0.0,,,0.0,0.0,4.0
